Build tool,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,org.openrewrite,rewrite-java,8.78.1,true,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,org.openrewrite,rewrite-core,8.78.1,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,org.openrewrite.tools,jgit,1.4.1,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,com.googlecode.javaewah,JavaEWAH,1.1.13,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,com.fasterxml.jackson.core,jackson-core,2.21.2,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,com.fasterxml.jackson.core,jackson-databind,2.21.2,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,com.fasterxml.jackson.module,jackson-module-parameter-names,2.21.2,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.21.2,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,org.openrewrite.tools,java-object-diff,1.0.1,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,io.quarkus.gizmo,gizmo,1.0.11.Final,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,org.jboss,jandex,2.4.2.Final,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,net.java.dev.jna,jna-platform,5.18.1,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,net.java.dev.jna,jna,5.18.1,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,com.univocity,univocity-parsers,2.9.1,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,org.yaml,snakeyaml,2.6,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,org.objenesis,objenesis,3.5,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,org.openrewrite,rewrite-yaml,8.78.1,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,org.jetbrains,annotations,26.1.0,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,com.fasterxml.jackson.core,jackson-annotations,2.21,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,org.antlr,antlr4-runtime,4.13.2,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,org.apache.commons,commons-text,1.15.0,false,
Maven,org.openrewrite.maven,rewrite-maven-plugin,6.36.0-SNAPSHOT,org.apache.commons,commons-lang3,3.20.0,false,
