Source path,Class name,Method name,Method signature,Cyclomatic complexity,Cognitive complexity,Max nesting depth,Line count,Parameter count,ABC score,Assignments,Branches,Conditions,Halstead volume,Halstead difficulty,Halstead estimated bugs
src/main/java/org/openrewrite/maven/AbstractRewriteBaseRunMojo.java,org.openrewrite.maven.AbstractRewriteBaseRunMojo,log,"org.openrewrite.maven.AbstractRewriteBaseRunMojo{name=log,return=void,parameters=[org.openrewrite.maven.LogLevel,java.lang.CharSequence]}",5,1,1,17,2,8.0,0,8,0,144.43,6.18,0.03
src/main/java/org/openrewrite/maven/AbstractRewriteBaseRunMojo.java,org.openrewrite.maven.AbstractRewriteBaseRunMojo,repositoryRoot,"org.openrewrite.maven.AbstractRewriteBaseRunMojo{name=repositoryRoot,return=java.nio.file.Path,parameters=[]}",4,3,1,17,0,5.83,3,4,3,147.16,12.0,0.05
src/main/java/org/openrewrite/maven/AbstractRewriteBaseRunMojo.java,org.openrewrite.maven.AbstractRewriteBaseRunMojo,listResults,"org.openrewrite.maven.AbstractRewriteBaseRunMojo{name=listResults,return=org.openrewrite.maven.AbstractRewriteBaseRunMojo$ResultsContainer,parameters=[org.openrewrite.ExecutionContext]}",10,10,3,62,1,60.74,8,60,5,1579.44,42.01,0.55
src/main/java/org/openrewrite/maven/AbstractRewriteBaseRunMojo.java,org.openrewrite.maven.AbstractRewriteBaseRunMojo,configureRecipeOptions,"org.openrewrite.maven.AbstractRewriteBaseRunMojo{name=configureRecipeOptions,return=void,parameters=[org.openrewrite.Recipe,java.util.Set<java.lang.String>]}",9,7,2,28,2,16.55,3,16,3,554.12,18.08,0.15
src/main/java/org/openrewrite/maven/AbstractRewriteBaseRunMojo.java,org.openrewrite.maven.AbstractRewriteBaseRunMojo,updateOption,"org.openrewrite.maven.AbstractRewriteBaseRunMojo{name=updateOption,return=void,parameters=[org.openrewrite.Recipe,java.lang.reflect.Field,java.lang.String]}",3,2,1,16,3,11.09,1,11,1,260.47,11.25,0.07
src/main/java/org/openrewrite/maven/AbstractRewriteBaseRunMojo.java,org.openrewrite.maven.AbstractRewriteBaseRunMojo,convertOptionValue,"org.openrewrite.maven.AbstractRewriteBaseRunMojo{name=convertOptionValue,return=java.lang.Object,parameters=[java.lang.String,java.lang.String,java.lang.Class<Generic{?}>]}",9,6,1,22,3,12.04,0,12,1,342.35,15.47,0.1
src/main/java/org/openrewrite/maven/AbstractRewriteBaseRunMojo.java,org.openrewrite.maven.AbstractRewriteBaseRunMojo,loadSourceSet,"org.openrewrite.maven.AbstractRewriteBaseRunMojo{name=loadSourceSet,return=org.openrewrite.LargeSourceSet,parameters=[java.nio.file.Path,org.openrewrite.config.Environment,org.openrewrite.ExecutionContext]}",1,0,0,11,3,8.94,4,8,0,239.63,5.1,0.04
src/main/java/org/openrewrite/maven/AbstractRewriteBaseRunMojo.java,org.openrewrite.maven.AbstractRewriteBaseRunMojo,runRecipe,"org.openrewrite.maven.AbstractRewriteBaseRunMojo{name=runRecipe,return=java.util.List<org.openrewrite.Result>,parameters=[org.openrewrite.Recipe,org.openrewrite.LargeSourceSet,org.openrewrite.ExecutionContext]}",4,4,1,27,3,25.67,5,25,3,633.36,18.96,0.17
src/main/java/org/openrewrite/maven/AbstractRewriteBaseRunMojo.java,org.openrewrite.maven.AbstractRewriteBaseRunMojo,sourcesWithAutoDetectedStyles,"org.openrewrite.maven.AbstractRewriteBaseRunMojo{name=sourcesWithAutoDetectedStyles,return=java.util.List<org.openrewrite.SourceFile>,parameters=[java.util.stream.Stream<org.openrewrite.SourceFile>]}",2,4,1,24,1,18.68,5,18,0,681.62,18.55,0.18
src/main/java/org/openrewrite/maven/AbstractRewriteBaseRunMojo.java,org.openrewrite.maven.AbstractRewriteBaseRunMojo,applyAutodetectedStyle,"org.openrewrite.maven.AbstractRewriteBaseRunMojo{name=applyAutodetectedStyle,return=java.util.function.UnaryOperator<org.openrewrite.SourceFile>,parameters=[java.util.Map<java.lang.Class<Generic{? extends org.openrewrite.Tree}>, org.openrewrite.style.NamedStyles>]}",3,5,2,11,1,8.06,1,8,0,179.75,9.34,0.05
